id;inn;full_name;short_name
1;7710435136;"ООО ""РуНетСофт""";"ООО ""РуНетСофт"""
10001;7830002430;"Общество с ограниченной ответственностью ""Пример""";"ООО ""Пример"""
10002;5902198365;Акционерное общество «Микрофинансовая компания предпринимательского финансирования Пермского края»;Акционерное общество «Микрофинансовая компания предпринимательского финансирования Пермского края»
10003;5917593174;Управление экономики администрации Кишертского муниципального района;Управление экономики администрации Кишертского муниципального района
10004;3015070479;"Акционерное общество ""Астраханский залоговый фонд""";"Акционерное общество ""Астраханский залоговый фонд"""
10005;4401165046;ООО “Гарантийный фонд поддержки предпринимательства Костромской области”;ООО “Гарантийный фонд поддержки предпринимательства Костромской области”
10006;7451281646;Фонд развития малого и среднего предпринимательства;Фонд развития малого и среднего предпринимательства
10007;6163098963;Некоммерческая организация «Гарантийный фонд Ростовской области»;Некоммерческая организация «Гарантийный фонд Ростовской области»
10008;1215046127;"Микрокредитная компания ""Фонд поддержки предпринимательства Республики Марий Эл""";"Микрокредитная компания ""Фонд поддержки предпринимательства Республики Марий Эл"""
10009;1831141242;Центр поддержки предпринимательства Удмуртской Республики (ЦПП УР) - структурное подразделение ГФСК УР;Центр поддержки предпринимательства Удмуртской Республики (ЦПП УР) - структурное подразделение ГФСК УР
10010;1435175512;"Микрокредитная компания ""Фонд развития предпринимательства Республики Саха (Якутия)""";"Микрокредитная компания ""Фонд развития предпринимательства Республики Саха (Якутия)"""
10011;6731027048;"Микрокредитная компания ""Смоленский областной фонд поддержки предпринимательства""";"Микрокредитная компания ""Смоленский областной фонд поддержки предпринимательства"""
10012;4501148213;"Некоммерческая организация ""Гарантийный фонд малого предпринимательства Курганской области""";"Некоммерческая организация ""Гарантийный фонд малого предпринимательства Курганской области"""
10013;3808187490;"Фонд поддержки субъектов малого и среднего предпринимательства ""Иркутский областной гарантийный фонд""";"Фонд поддержки субъектов малого и среднего предпринимательства ""Иркутский областной гарантийный фонд"""
10014;6455046176;АО «Гарантийный фонд для субъектов малого предпринимательства Саратовской области»;АО «Гарантийный фонд для субъектов малого предпринимательства Саратовской области»
10015;1655226000;"Некоммерческая органиазция ""Гарантиный фонд Республики Татарстан""";"Некоммерческая органиазция ""Гарантиный фонд Республики Татарстан"""
10016;5835073174;Акционерное общество «Гарантийная микрокредитная компания «Поручитель»;Акционерное общество «Гарантийная микрокредитная компания «Поручитель»
10017;6952000911;Фонд содействия кредитованию малого и среднего предпринимательства Тверской области (микрофинансовая организация);Фонд содействия кредитованию малого и среднего предпринимательства Тверской области (микрофинансовая организация)
10018;1001019831;Фонд по содействию кредитованию субъектов малого и среднего предпринимательства Республики Карелия (микрокредитная компания);ФСК Карелии (Микрокредитная Компания)
10019;2926009269;"Государственное унитарное предприятие Архангельской области ""Инвестиционная компания ""Архангельск""";"Государственное унитарное предприятие Архангельской области ""Инвестиционная компания ""Архангельск"""
10020;4101141534;Гарантийный фонд развития предпринимательства Камчатского края;Гарантийный фонд развития предпринимательства Камчатского края
10021;2983010493;Микрокредитная компания Фонд поддержки предпринимательства и предоставления гарантий Ненецкого автономного округа;Микрокредитная компания Фонд поддержки предпринимательства и предоставления гарантий Ненецкого автономного округа
10022;1326210502;"Автономное учреждение ""Гарантийный фонд кредитного обеспечения Республики Мордовия""";"Автономное учреждение ""Гарантийный фонд кредитного обеспечения Республики Мордовия"""
10023;3528252890;АНО «Центр гарантийного обеспечения малого и среднего предпринимательства»;АНО «Центр гарантийного обеспечения малого и среднего предпринимательства»
10024;6234990280;Гарантийный  Фонд  Рязанской  области;Гарантийный  Фонд  Рязанской  области
10025;2536222464;Гарантийный фонд Приморского края;Гарантийный фонд Приморского края
10026;6501215946;"Автономное учреждение ""Микрофинансовая организация ""Сахалинский Фонд развития предпринимательства""";"Автономное учреждение ""Микрофинансовая организация ""Сахалинский Фонд развития предпринимательства"""
10027;2130065228;Автономная некоммерческая организация «Гарантийный фонд Чувашской Республики»;Автономная некоммерческая организация «Гарантийный фонд Чувашской Республики»
10028;2721995187;Гарантийный фонд Хабаровского края;Гарантийный фонд Хабаровского края
10029;4909103145;"Некоммерческая организация ""Магаданский региональный фонд содействия развитию предпринимательства""";"Некоммерческая организация ""Магаданский региональный фонд содействия развитию предпринимательства"""
10030;2013002658;НО «Гарантийный фонд Чеченской Республики»;НО «Гарантийный фонд Чеченской Республики»
10031;3728015495;"Некоммерческая микрокредитная компания ""Ивановский государственный фонд поддержки малого предпринимательства""";"Некоммерческая микрокредитная компания ""Ивановский государственный фонд поддержки малого предпринимательства"""
10032;2460030985;Акционерное общество «Агентство развития бизнеса и микрокредитная компания» ;Акционерное общество «Агентство развития бизнеса и микрокредитная компания» 
10033;6027123709;Автономная некоммерческая организация «Фонд гарантий и развития предпринимательства Псковской области» (микрофинансовая компания);Автономная некоммерческая организация «Фонд гарантий и развития предпринимательства Псковской области» (микрофинансовая компания)
10034;7202098425;Фонд «Инвестиционное агентство Тюменской области»;Фонд «Инвестиционное агентство Тюменской области»
10035;7709664188;Фонд содействия кредитованию малого бизнеса Москвы;Фонд содействия кредитованию малого бизнеса Москвы
10036;6829127793;"АО МК ""Фонд содействия кредитованию малого и среднего предпринимательства Тамбовской области""";"АО МК ""Фонд содействия кредитованию малого и среднего предпринимательства Тамбовской области"""
10037;5406524477;Фонд развития малого и среднего предпринимательства Новосибирской области;Фонд развития малого и среднего предпринимательства Новосибирской области
10038;8601009740;Фонд поддержки предпринимательства Югры;Фонд поддержки предпринимательства Югры
10039;2801160232;"Некоммерческая организация ""Фонд содействия кредитованию субъектов малого и среднего предпринимательства Амурской области""";"Некоммерческая организация ""Фонд содействия кредитованию субъектов малого и среднего предпринимательства Амурской области"""
10040;7838029258;Фонд содействия кредитованию малого и среднего бизнеса, микрокредитная компания (Некоммерческая организация);Фонд содействия кредитованию малого и среднего бизнеса, микрокредитная компания (Некоммерческая организация)
10041;0571000767;Фонд содействия кредитованию субъектов малого и среднего предпринимательства Республики Дагестан;Фонд содействия кредитованию субъектов малого и среднего предпринимательства Республики Дагестан
10042;0721063906;"Некоммерческая организация ""Гарантийный фонд Кабардино-Балкарской Республики""";"Некоммерческая организация ""Гарантийный фонд Кабардино-Балкарской Республики"""
10043;0917014928;"Карачаево-Черкесское Республиканское государственное унитарное предприятие ""Гарантийный фонд поддержки предпринимательства Карачаево-Черкесской Республики""";"Карачаево-Черкесское Республиканское государственное унитарное предприятие ""Гарантийный фонд поддержки предпринимательства Карачаево-Черкесской Республики"""
10044;4632066518;"Ассоциация микрокредитная компания ""Центр поддержки предпринимательства Курской области""";"Ассоциация микрокредитная компания ""Центр поддержки предпринимательства Курской области"""
10045;0725005479;"Государственное бюджетное учреждение ""Многофункциональный центр по предоставлению государственных и муниципальных услуг Кабардино-Балкарской Республики»";"Государственное бюджетное учреждение ""Многофункциональный центр по предоставлению государственных и муниципальных услуг Кабардино-Балкарской Республики»"
10046;6670308345;Государственное бюджетное учреждение Свердловской области «Многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное бюджетное учреждение Свердловской области «Многофункциональный центр предоставления государственных и муниципальных услуг»
10047;2013004052;Государственное бюджетное учреждение Чеченской Республики «Республиканский многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное бюджетное учреждение Чеченской Республики «Республиканский многофункциональный центр предоставления государственных и муниципальных услуг»
10048;4345356132;Кировское областное государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг»;Кировское областное государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг»
10049;0608018562;"ГКУ ""Республиканский многофункциональный центр предоставления государственных и муниципальных услуг""";"ГКУ ""Республиканский многофункциональный центр предоставления государственных и муниципальных услуг"""
10050;2310173039;"ГАУ КК ""МФЦ КК""";"ГАУ КК ""МФЦ КК"""
10051;5753007212;"Бюджетное учреждение Орловской области ""Многофункциональный центр предоставления государственных и муниципальных услуг""";"Бюджетное учреждение Орловской области ""Многофункциональный центр предоставления государственных и муниципальных услуг"""
10052;1901093926;Государственное автономное учреждение Республики Хакасия «Многофункциональный центр организации централизованного предоставления государственных и муниципальных услуг Республики Хакасия»;Государственное автономное учреждение Республики Хакасия «Многофункциональный центр организации централизованного предоставления государственных и муниципальных услуг Республики Хакасия»
10053;3250505257;"Государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг в г. Брянске""";"Государственное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг в г. Брянске"""
10054;5609076774;Государственное автономное учреждение Оренбургской области «Оренбургский областной многофункциональный центр предоставления государственных и муниципальных услуг»;Государственное автономное учреждение Оренбургской области «Оренбургский областной многофункциональный центр предоставления государственных и муниципальных услуг»
10055;2635821243;ГКУ СК МФЦ;ГКУ СК МФЦ
10056;2536259312;Краевое государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Приморского края»;Краевое государственное автономное учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг Приморского края»
10057;3304019552;Государственное бюджетное учреждение Владимирской области «Многофункциональный центр предоставления государственных и муниципальных услуг Владимирской области»;Государственное бюджетное учреждение Владимирской области «Многофункциональный центр предоставления государственных и муниципальных услуг Владимирской области»
